ticker,analysis_date,current_price,score,max_score,quality,market_context.spy_price,market_context.spy_50w_sma,market_context.spy_above_50w,market_context.market_state,market_context.warning,fundamentals.eps_growth_yoy,fundamentals.rev_growth_yoy,fundamentals.net_margin_pct,fundamentals.gross_margin_pct,fundamentals.eps_5yr_cagr,fundamentals.margin_pass,fundamentals.eps_pass,fundamentals.rev_pass,fundamentals.data_quality,fundamentals.industry,fundamentals.sector,fundamentals.margin_note,fundamentals.distortion_note,fundamentals.error_detail,relative_strength.rs_4w,relative_strength.rs_13w,relative_strength.rs_26w,relative_strength.rs_52w,relative_strength.rs_line_current,relative_strength.rs_52w_high,relative_strength.rs_at_52w_high,relative_strength.leading_rs,stage2.confirmed,stage2.sma30w,stage2.current_price,stage2.sma30w_rising,stage2.pct_above_30w_sma,stage2.pct_from_52w_high,stage2.pct_above_52w_low,stage2.prior_uptrend,stage2.high_52w,stage2.low_52w,base.pattern,base.length_weeks,base.depth_pct,base.base_high,base.base_high_date,base.base_low,base.base_low_date,base.pass_depth,base.vcp_swings,base.vcp_contracting,volume.avg_vol_up_weeks,volume.avg_vol_down_weeks,volume.accumulation_ratio,volume.accumulation_pass,volume.vol_dry_pct,volume.vol_dry_pass,tightness.tight_area_count,tightness.last_tight_date,tightness.first_30d_avg_range_pct,tightness.last_30d_avg_range_pct,tightness.volatility_contraction_pct,tightness.volatility_contracting,tightness.tight_area_pass,priming.inside_bars,priming.upside_reversals,priming.tight_setup_days,priming.best_signal,support.primary_support,entry.pivot_price,entry.already_broken_out,entry.entry1.trigger,entry.entry1.stop,entry.entry1.risk_pct,entry.entry1.signal_type,entry.entry1.signal_date,entry.entry1.status,entry.entry1.sizing_per_500_risk.shares,entry.entry1.sizing_per_500_risk.position_value,entry.entry2.trigger,entry.entry2.stop,entry.entry2.risk_pct,entry.entry2.vol_required,entry.entry2.status,entry.entry2.breakout_date,entry.entry2.breakout_vol_ratio,entry.entry2.sizing_per_500_risk.shares,entry.entry2.sizing_per_500_risk.position_value,entry.stop_levels.ema10,entry.stop_levels.ema21,entry.stop_levels.sma50,entry.stop_levels.primary_support,entry.stop_levels.ema10_dist_pct,entry.stop_levels.ema21_dist_pct,entry.stop_levels.sma50_dist_pct,entry.stop_levels.support_dist_pct,entry.stop_levels.ema10_state,entry.stop_levels.ema21_state,entry.stop_levels.sma50_state,entry.stop_levels.recommendation_if_in_entry1,entry.stop_levels.recommendation_if_in_entry2,entry.stop_levels.recommendation_reason,entry.stop_levels.hard_stop_from_e1,entry.stop_levels.hard_stop_from_e2,climax.climax_warning,climax.gain_5w_pct,climax.vol_surge_ratio,climax.close_position_pct
BNAI,2026-03-20,40.55,3,11,AVOID,648.6,641.4,True,UPTREND,,-33.3,,0.0,,,False,False,False,OK,Software - Infrastructure,Technology,,,,20.2,3496.6,1279.8,830.8,0.0625,0.0837,False,False,True,11.73,40.55,True,245.6,-53.0,3336.4,True,86.28,1.18,Unclear,3,-31.9,56.27,2026-03-02,38.3,2026-03-09,True,"[None, None, None]",False,3214492.0,5825600.0,0.55,False,,False,0,,29.33,14.86,-49.3,True,False,"[{'date': '2026-03-12', 'vol_ratio': 0.09}]","[{'date': '2026-03-13', 'close_position_pct': 90.0}, {'date': '2026-03-16', 'close_position_pct': 83.6}, {'date': '2026-03-17', 'close_position_pct': 87.4}]",[],INSIDE_BAR,40.21,56.27,False,,,,,,NOT_AVAILABLE,,,56.55,54.58,3.5,≥1.5x 50-day average,WATCHING,,,253.8,14352.0,40.03,36.96,27.73,40.21,1.3,9.7,46.2,0.8,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,52.31,False,,,
CF,2026-03-20,124.9,7,11,DEVELOPING,648.6,641.4,True,UPTREND,,41.3,22.8,20.5,,37.1,True,True,True,OK,Agricultural Inputs,Basic Materials,,,,32.7,72.6,39.5,40.3,0.1926,0.1956,True,True,True,89.14,124.9,True,40.1,-9.1,89.8,True,137.44,65.81,Unclear,2,-3.6,129.57,2026-03-09,124.9,2026-03-16,True,"[None, None, None]",False,,43345246.0,,False,,False,1,2025-12-26,3.08,4.8,55.8,False,True,[],"[{'date': '2026-03-12', 'close_position_pct': 86.7}, {'date': '2026-03-18', 'close_position_pct': 84.0}]",[],UPSIDE_REVERSAL,123.71,129.57,False,127.99,123.71,3.3,UPSIDE_REVERSAL,2026-03-18,WATCHING,116.8,14949.0,130.22,125.68,3.5,≥1.5x 50-day average,WATCHING,,,110.1,14337.0,121.89,114.65,99.6,123.71,2.5,8.9,25.4,1.0,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,118.39,120.45,False,,,
CIEN,2026-03-20,383.89,5,11,NOT_READY,648.6,641.4,True,UPTREND,,232.3,33.1,4.5,,232.3,False,True,True,OK,Communication Equipment,Technology,,,,16.4,69.1,175.2,429.7,0.5919,0.5919,True,True,True,220.35,383.89,True,74.2,-8.6,680.1,True,419.8,49.21,Unclear,1,0.0,383.89,2026-03-16,383.89,2026-03-16,True,"[None, None, None]",False,,,,False,,False,0,,6.62,7.26,9.7,False,False,"[{'date': '2026-03-11', 'vol_ratio': 0.61}]",[],[],INSIDE_BAR,380.11,383.89,True,,,,,,NOT_AVAILABLE,,,385.81,372.37,3.5,≥1.5x 50-day average,TRIGGERED_WEAK_VOL,2026-03-18,1.19,37.2,14352.0,365.85,345.16,296.98,380.11,4.9,11.2,29.3,1.0,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,356.87,False,14.6,1.08,52.0
CRCL,2026-03-20,126.03,5,11,NOT_READY,648.6,641.4,True,UPTREND,,,76.9,-2.5,,880.2,False,False,True,OK,Capital Markets,Financial Services,,,,59.8,65.1,1.0,,0.1943,,False,False,False,99.24,126.03,False,27.0,-57.8,152.6,True,298.99,49.9,Unclear,40,-76.3,240.28,2025-06-16,57.04,2026-02-02,False,"[52.3, 51.1, 54.7]",False,80631927.0,71951713.0,1.12,True,-16.0,False,0,,5.72,7.6,32.9,False,False,[],"[{'date': '2026-03-19', 'close_position_pct': 83.1}]",[],UPSIDE_REVERSAL,126.01,240.28,False,129.74,126.01,2.9,UPSIDE_REVERSAL,2026-03-19,WATCHING,134.0,17385.0,241.48,233.07,3.5,≥1.5x 50-day average,WATCHING,,,59.5,14368.0,120.46,107.18,82.57,126.01,4.6,17.6,52.6,0.0,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,120.01,223.37,False,,,
CNX,2026-03-20,40.48,4,11,AVOID,648.6,641.4,True,UPTREND,,-232.0,28.3,30.7,,,True,False,True,OK,Oil & Gas E&P,Energy,,,,2.5,17.7,27.8,8.7,0.0624,0.0636,True,True,True,36.19,40.48,True,11.9,-7.2,46.2,True,43.62,27.68,Unclear,2,-3.9,42.14,2026-03-09,40.48,2026-03-16,True,"[None, None, None]",False,,10551664.0,,False,,False,0,,3.27,3.82,16.8,False,False,[],"[{'date': '2026-03-13', 'close_position_pct': 98.2}]",[],UPSIDE_REVERSAL,40.46,42.14,False,42.17,40.46,4.1,UPSIDE_REVERSAL,2026-03-13,WATCHING,292.4,12331.0,42.35,40.88,3.5,≥1.5x 50-day average,WATCHING,,,340.1,14403.0,41.07,40.76,39.09,40.46,-1.4,-0.7,3.6,0.0,2_CLOSES_BELOW,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,39.01,39.17,False,,,
CRK,2026-03-20,21.69,4,11,AVOID,648.6,641.4,True,UPTREND,,-610.5,35.2,17.8,,,True,False,True,OK,Oil & Gas E&P,Energy,,,,17.0,-2.0,12.0,-7.1,0.0334,0.0518,False,False,True,21.01,21.69,True,3.3,-30.4,48.1,True,31.17,14.65,Unclear,40,-49.6,30.5,2025-06-16,15.36,2025-08-18,True,"[49.6, 38.3, 21.9]",True,12548745.0,13470532.0,0.93,False,-2.5,False,0,,5.13,5.04,-1.8,False,False,[],"[{'date': '2026-03-11', 'close_position_pct': 88.7}, {'date': '2026-03-12', 'close_position_pct': 84.5}, {'date': '2026-03-13', 'close_position_pct': 75.5}, {'date': '2026-03-18', 'close_position_pct': 89.9}]",[],UPSIDE_REVERSAL,21.66,30.5,False,,,,,,NOT_AVAILABLE,,,30.65,29.59,3.5,≥1.5x 50-day average,WATCHING,,,471.7,14458.0,20.83,20.62,21.07,21.66,4.1,5.2,2.9,0.1,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,28.35,False,,,
CFLT,2026-03-20,30.99,6,11,NOT_READY,648.6,641.4,True,UPTREND,,-14.8,20.5,-25.3,,,False,False,True,OK,Software - Infrastructure,Technology,,,,6.9,9.5,59.3,8.2,0.0478,0.0478,True,True,True,25.97,30.99,True,19.3,-0.0,98.1,True,31.0,15.64,Unclear,1,0.0,30.99,2026-03-16,30.99,2026-03-16,True,"[None, None, None]",False,,,,False,,False,6,2026-03-17,0.32,0.35,9.4,False,True,"[{'date': '2026-03-05', 'vol_ratio': 0.5}, {'date': '2026-03-17', 'vol_ratio': 0.0}]",[],"[{'date': '2026-03-06', 'dist_from_pivot_pct': -0.7, 'vol_ratio': 0.4}, {'date': '2026-03-09', 'dist_from_pivot_pct': -0.8, 'vol_ratio': 0.0}, {'date': '2026-03-12', 'dist_from_pivot_pct': -1.0, 'vol_ratio': 0.39}, {'date': '2026-03-17', 'dist_from_pivot_pct': -0.0, 'vol_ratio': 0.0}]",TIGHT_SETUP_DAY,30.67,30.99,False,30.99,30.67,1.0,TIGHT_SETUP_DAY,2026-03-17,WATCHING,1562.5,48422.0,31.14,30.06,3.5,≥1.5x 50-day average,WATCHING,,,463.0,14418.0,30.8,30.72,30.58,30.67,0.6,0.9,1.3,1.0,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,28.67,28.8,False,,,
CXW,2026-03-20,19.46,6,11,NOT_READY,648.6,641.4,True,UPTREND,,52.9,26.0,5.3,,42.4,False,True,True,OK,Security & Protection Services,Industrials,,,,16.4,7.8,-8.1,-19.0,0.03,0.0426,False,False,False,18.91,19.46,False,2.9,-17.3,23.6,False,23.54,15.74,Cup with Handle,47,-26.9,22.89,2025-04-28,16.74,2026-02-16,True,"[14.3, 21.3, 17.5]",False,4987569.0,4911767.0,1.02,True,7.3,False,0,2026-01-23,2.68,4.66,73.9,False,False,[],"[{'date': '2026-03-09', 'close_position_pct': 84.2}, {'date': '2026-03-13', 'close_position_pct': 98.8}, {'date': '2026-03-16', 'close_position_pct': 81.7}]",[],UPSIDE_REVERSAL,19.45,22.89,False,,,,,,NOT_AVAILABLE,,,23.0,22.2,3.5,≥1.5x 50-day average,WATCHING,,,625.0,14375.0,19.09,18.68,18.73,19.45,1.9,4.2,3.9,0.1,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,21.28,False,,,
GLW,2026-03-20,124.58,7,11,DEVELOPING,648.6,641.4,True,UPTREND,,72.2,20.4,10.2,,77.4,True,True,True,OK,Electronic Components,Technology,,,,-12.2,48.3,60.6,134.2,0.1921,0.2188,False,False,True,95.52,124.58,True,30.4,-23.0,238.9,True,161.8,36.76,Unclear,4,-17.9,150.1,2026-02-23,123.29,2026-03-02,True,"[None, None, None]",False,60829900.0,71856578.0,0.85,False,-24.2,True,1,2025-12-30,4.19,5.71,36.3,False,True,[],"[{'date': '2026-03-17', 'close_position_pct': 75.0}, {'date': '2026-03-19', 'close_position_pct': 88.7}]",[],UPSIDE_REVERSAL,124.41,150.1,False,134.25,124.41,7.3,UPSIDE_REVERSAL,2026-03-19,WATCHING,50.8,6820.0,150.85,145.6,3.5,≥1.5x 50-day average,WATCHING,,,95.2,14361.0,131.19,131.99,120.73,124.41,-5.0,-5.6,3.2,0.1,1_CLOSE_BELOW,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,124.18,139.54,False,,,
CTRA,2026-03-20,33.97,6,11,NOT_READY,648.6,641.4,True,UPTREND,,27.5,40.4,24.6,,20.6,True,True,True,OK,Oil & Gas E&P,Energy,,,,18.3,41.2,47.3,4.2,0.0524,0.0524,True,True,True,26.43,33.97,True,28.5,-2.0,56.4,True,34.67,21.72,Unclear,1,0.0,33.97,2026-03-16,33.97,2026-03-16,True,"[None, None, None]",False,,,,False,,False,1,2026-02-10,3.06,2.91,-4.9,False,True,[],"[{'date': '2026-03-13', 'close_position_pct': 81.0}, {'date': '2026-03-18', 'close_position_pct': 97.1}]",[],UPSIDE_REVERSAL,33.71,33.97,True,,,,,,NOT_AVAILABLE,,,34.14,32.95,3.5,≥1.5x 50-day average,TRIGGERED_WEAK_VOL,2026-03-20,0.92,420.2,14346.0,32.64,31.69,29.5,33.71,4.1,7.2,15.2,0.8,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,31.58,False,9.4,1.13,76.0
DAWN,2026-03-20,21.44,6,11,NOT_READY,648.6,641.4,True,UPTREND,,280.0,83.9,-67.8,,,False,True,True,OK,Biotechnology,Healthcare,,,,113.9,141.5,222.2,125.7,0.0331,0.0331,True,True,True,10.16,21.44,True,111.1,0.0,280.5,True,21.44,5.64,Unclear,1,0.0,21.44,2026-03-16,21.44,2026-03-16,True,"[None, None, None]",False,,,,False,,False,0,,6.99,4.33,-38.1,True,False,"[{'date': '2026-03-18', 'vol_ratio': 0.55}]",[],[],INSIDE_BAR,21.3,21.44,True,21.32,21.3,0.1,INSIDE_BAR,2026-03-18,TRIGGERED,25000.4,533009.0,21.55,20.8,3.5,≥1.5x 50-day average,TRIGGERED_WEAK_VOL,2026-03-20,1.39,666.7,14367.0,20.26,17.84,13.48,21.3,5.8,20.2,59.1,0.7,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,19.72,19.93,False,82.0,1.02,100.0
DELL,2026-03-20,157.67,7,11,DEVELOPING,648.6,641.4,True,UPTREND,,56.7,39.5,5.2,,57.3,False,True,True,OK,Computer Hardware,Technology,,,,12.6,30.4,23.7,47.8,0.2431,0.2431,True,True,True,133.45,157.67,True,18.2,-7.2,142.4,True,169.89,65.04,Cup with Handle,21,-29.1,161.3,2025-10-27,114.44,2026-01-26,True,"[24.4, 11.1, 25.5]",False,39203185.0,34980708.0,1.12,True,39.0,False,0,2025-12-30,3.46,4.7,35.8,False,False,[],"[{'date': '2026-03-09', 'close_position_pct': 96.4}, {'date': '2026-03-13', 'close_position_pct': 78.3}]",[],UPSIDE_REVERSAL,157.31,161.3,False,,,,,,NOT_AVAILABLE,,,162.11,156.46,3.5,≥1.5x 50-day average,WATCHING,,,88.5,14347.0,151.35,144.39,128.52,157.31,4.2,9.2,22.7,0.2,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,149.95,False,,,
